date,day,holiday,holiday_type
2017-01-01,Sunday,New Year's Day,Restricted Holiday
2017-01-05,Thursday,Guru Govind Singh's Birthday,Restricted Holiday
2017-01-14,Saturday,Makar Sankranti,Restricted Holiday
2017-01-14,Saturday,Pongal,Restricted Holiday
2017-01-26,Thursday,Republic Day,Gazetted Holiday
2017-02-01,Wednesday,Basant Panchami/Sri Panchami,Restricted Holiday
2017-02-10,Friday,Guru Ravidas's Birthday,Restricted Holiday
2017-02-19,Sunday,Shivaji Jayanti,Restricted Holiday
2017-02-21,Tuesday,Swami Dayananda Saraswati Jayanti,Restricted Holiday
2017-02-24,Friday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2017-03-12,Sunday,Holika Dahana,Restricted Holiday
2017-03-13,Monday,Holi,Gazetted Holiday
2017-03-28,Tuesday,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand,Restricted Holiday
2017-04-04,Tuesday,Rama Navami,Gazetted Holiday
2017-04-09,Sunday,Mahavir Jayanti,Gazetted Holiday
2017-04-11,Tuesday,Hazarat Ali's Birthday,Restricted Holiday
2017-04-13,Thursday,Vaisakhi/Vishu,Restricted Holiday
2017-04-14,Friday,Good Friday,Gazetted Holiday
2017-04-14,Friday,Mesadi,Restricted Holiday
2017-04-15,Saturday,Vaisakhadi(Bengal)/Bahag Bihu (Assam),Restricted Holiday
2017-04-16,Sunday,Easter Day,Restricted Holiday
2017-05-09,Tuesday,Guru Rabindranath's birthday,Restricted Holiday
2017-05-10,Wednesday,Buddha Purnima/Vesak,Gazetted Holiday
2017-06-23,Friday,Jamat Ul-Vida,Restricted Holiday
2017-06-25,Sunday,Rath Yatra,Restricted Holiday
2017-06-26,Monday,Idu'l Fitr,Gazetted Holiday
2017-08-07,Monday,Raksha Bandhan (Rakhi),Restricted Holiday
2017-08-15,Tuesday,Independence Day,Gazetted Holiday
2017-08-15,Tuesday,Janmashtarni (Vaishnav),Gazetted Holiday
2017-08-17,Thursday,Parsi New Year's day/Nauraj,Restricted Holiday
2017-08-25,Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2017-09-02,Saturday,Id-ul-Zuha(Bakrid),Gazetted Holiday
2017-09-04,Monday,Onam,Restricted Holiday
2017-09-30,Saturday,Dussehra,Gazetted Holiday
2017-10-01,Sunday,Muharram/Ashura,Gazetted Holiday
2017-10-02,Monday,Mahatma Gandhi Jayanti,Gazetted Holiday
2017-10-05,Thursday,Maharishi Valmiki's Birthday,Restricted Holiday
2017-10-08,Sunday,Karaka Chaturthi (Karva Chouth),Restricted Holiday
2017-10-18,Wednesday,Deepavali (South India),Restricted Holiday
2017-10-18,Wednesday,Naraka Chaturdasi,Restricted Holiday
2017-10-19,Thursday,Diwali (Deepavali),Gazetted Holiday
2017-10-20,Friday,Govardhan Puja,Restricted Holiday
2017-10-21,Saturday,Bhai Duj,Restricted Holiday
2017-10-26,Thursday,Pratihar Sashthi or Surya Sashthi (Chhat Puja),Restricted Holiday
2017-11-04,Saturday,Guru Nanak's Birthday,Gazetted Holiday
2017-11-24,Friday,Guru Teg Bahadur's Martyrdom Day,Restricted Holiday
2017-12-02,Saturday,Milad-un-Nabi or Id-e- Milad (birthday of Prophet Mohammad),Gazetted Holiday
2017-12-24,Sunday,Christmas Eve,Restricted Holiday
2017-12-25,Monday,Christmas Day,Gazetted Holiday
2018-01-01,Monday,New Year's Day (R),Restricted
2018-01-14,Sunday,Makar Sankranti (R),Restricted
2018-01-22,Monday,Basant Panchami / Sri Panchami (R),Restricted
2018-01-26,Friday,Republic Day (G),Gazetted
2018-01-31,Wednesday,Guru Ravidas's Birthday (R),Restricted
2018-02-10,Saturday,Swami Dayananda Saraswati Jayanti (R),Restricted
2018-02-14,Wednesday,Maha Shivaratri (G),Gazetted
2018-02-19,Monday,Shivaji Jayanti (R),Restricted
2018-03-01,Thursday,Holika Dahan/Dolyatra (R),Restricted
2018-03-02,Friday,Holi (G),Gazetted
2018-03-18,Sunday,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
2018-03-25,Sunday,Ram Navami (R),Restricted
2018-03-29,Thursday,Mahavir Jayanti (G),Gazetted
2018-03-30,Friday,Good Friday (G),Gazetted
2018-04-01,Sunday,Easter Sunday (R),Restricted
2018-04-14,Saturday,Vaisakhi/Vishu/Mesadi (R),Restricted
2018-04-15,Sunday,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),Restricted
2018-04-30,Monday,Buddha Purnima (G),Gazetted
2018-05-09,Wednesday,Guru Rabindranath's Birthday (R),Restricted
2018-06-15,Friday,Jamat-Ul-Vida (R),Restricted
2018-06-16,Saturday,Idu'l Fitr (G),Gazetted
2018-07-14,Saturday,Rath Yatra (R),Restricted
2018-08-15,Wednesday,Independence day (G),Gazetted
2018-08-17,Friday,Parsi New Year's day/Nauraj (R),Restricted
2018-08-22,Wednesday,Id-ul-Zuha (Bakrid) (G),Gazetted
2018-08-25,Saturday,Onam or Thiru Onam Day (R),Restricted
2018-08-26,Sunday,Raksha Bandhan (R),Restricted
2018-09-03,Monday,Janmashtami (G),Gazetted
2018-09-13,Thursday,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted
2018-09-21,Friday,Muharram (G),Gazetted
2018-10-02,Tuesday,Mahatma Gandhi's Birthday (G),Gazetted
2018-10-16,Tuesday,Dussehra (Maha Saptami) (Additional) (R),Restricted
2018-10-17,Wednesday,Dussehra (Maha Ashtami) (Additional) (R),Restricted
2018-10-18,Thursday,Dussehra (Maha Navmi) (R),Restricted
2018-10-19,Friday,Dussehra (G),Gazetted
2018-10-24,Wednesday,Maharishi Valmiki's Birthday (R),Restricted
2018-10-27,Saturday,Karaka Chaturthi (Karva Chouth) (R),Restricted
2018-11-06,Tuesday,Deepavali (South India) (R),Restricted
2018-11-07,Wednesday,Diwali (Deepavali) (G),Gazetted
2018-11-08,Thursday,Govardhan Puja (R),Restricted
2018-11-09,Friday,Bhai Duj (R),Restricted
2018-11-13,Tuesday,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
2018-11-21,Wednesday,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad) (G),Gazetted
2018-11-23,Friday,Gur'u Nanak's Birthday (G),Gazetted
2018-11-24,Saturday,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2018-12-24,Monday,Christmas Eve (R),Restricted
2018-12-25,Tuesday,Christmas Day (G),Gazetted
2019-01-01,Tuesday,New Year's Day (R),Restricted
2019-01-13,Sunday,Guru Gobind Singh's Birthday (R),Restricted
2019-01-14,Monday,Makar Sankranti (R),Restricted
2019-01-15,Tuesday,Pongal (R),Restricted
2019-01-26,Saturday,Republic Day (G),Gazetted
2019-02-10,Sunday,Basant Panchami / Sri Panchami (R),Restricted
2019-02-19,Tuesday,Guru Ravidas's Birthday (R),Restricted
2019-03-01,Friday,Swami Dayananda Saraswati Jayanti (R),Restricted
2019-03-04,Monday,Maha Shivaratri (G),Gazetted
